Period,Model,MAE,SMAPE,MAE_Inflow,MAE_Outflow,Train_Samples,Val_Samples,Test_Samples,Best_Epoch,Val_Loss
P1,Baseline,11.7804,14.41,11.7385,11.8224,N/A,N/A,246,3,0.038539
P1,Extended,11.9654,13.59,11.9222,12.0086,N/A,N/A,246,51,0.019887
P2,Baseline,12.5495,13.20,12.5134,12.5857,N/A,N/A,237,50,0.019040
P2,Extended,12.4681,12.66,12.4309,12.5053,N/A,N/A,237,41,0.020222
P3,Baseline,13.0457,13.39,13.0202,13.0713,N/A,N/A,238,32,0.016359
P3,Extended,12.4956,13.07,12.4606,12.5306,N/A,N/A,238,54,0.014746
P4,Baseline,11.4911,15.02,11.4616,11.5206,N/A,N/A,379,88,0.017043
P4,Extended,13.0034,16.12,12.9853,13.0215,N/A,N/A,379,30,0.022929
