Period,MAE_Baseline,MAE_Extended,SMAPE_Baseline,SMAPE_Extended,MAE_Improvement_%
P1,11.7804,11.9654,14.41,13.59,-1.570405079623786
P2,12.5495,12.4681,13.2,12.66,0.6486314195784721
P3,13.0457,12.4956,13.39,13.07,4.216715086196988
P4,11.4911,13.0034,15.02,16.12,-13.160619958054493
